Source,Target,Weight
7922,8124,246
7922,7938,68
7922,8904,165
7922,7942,68
7922,8008,168
7922,8020,45
7922,7959,73
7922,8000,67
7922,8140,185
7922,8111,36
7922,8023,36
7922,7985,49
7922,7924,291
7922,8300,67
7922,7931,80
7922,7964,176
7922,7973,71
7922,8056,33
7922,7951,155
7922,7936,161
7922,8028,203
7922,7955,168
7922,7946,54
7922,7990,35
7922,10167,22
7922,8243,188
7922,8086,112
7922,8119,51
7922,8073,149
7922,8184,58
7922,8016,200
7922,8091,175
7922,8198,50
7922,8287,53
7922,8413,113
7922,7953,227
7922,7998,195
7922,8031,93
7922,7992,91
7922,7980,143
7922,7940,41
7922,8245,39
7922,7988,221
7922,7944,128
7922,8047,75
7922,8460,64
7922,8305,50
7922,8018,126
7922,8495,199
7922,10112,57
7922,8163,105
7922,8093,96
7922,8084,196
7922,8428,156
7922,7983,234
7922,8114,49
7922,8188,207
7922,8136,40
7922,8011,53
7922,7957,62
7922,8211,42
7922,10937,5
7922,8174,154
7922,9647,118
7922,8033,162
7922,8045,181
7922,7949,260
7922,8848,30
7922,8647,208
7922,7914,57
7922,7916,57
7922,7908,181
7922,7918,55
7922,7910,45
7922,7912,135
7922,7920,147
7922,7906,41
7924,8738,19
7924,7926,66
7924,7953,268
7924,8018,128
7924,8109,12
7924,8163,90
7924,8011,54
7924,10937,5
7924,8093,98
7924,8428,174
7924,7973,56
7924,8091,209
7924,8056,33
7924,8124,317
7924,7994,169
7924,8280,27
7924,7970,26
7924,8413,114
7924,7967,102
7924,7964,184
7924,8033,166
7924,7975,38
7924,8136,35
7924,8186,82
7924,8016,234
7924,8243,216
7924,9647,149
7924,7951,165
7924,7990,28
7924,7988,271
7924,8272,161
7924,8211,36
7924,7942,41
7924,8023,26
7924,10167,20
7924,8460,57
7924,8002,35
7924,7998,211
7924,8848,24
7924,8005,191
7924,8647,249
7924,7946,48
7924,8780,18
7924,8198,50
7924,7929,125
7924,8028,227
7924,8000,65
7924,8245,32
7924,8045,223
7924,8114,50
7924,8119,43
7924,8904,187
7924,8188,234
7924,10112,65
7924,8287,46
7924,7957,56
7924,7992,86
7924,7962,28
7924,7936,183
7924,7978,252
7924,8008,205
7924,8121,30
7924,7938,58
7924,8073,156
7924,8086,126
7924,8184,62
7924,8219,45
7924,7985,41
7924,8111,37
7924,7934,34
7924,8031,89
7924,8149,54
7924,7931,87
7924,8140,199
7924,8131,286
7924,9066,26
7924,8174,192
7924,7940,30
7924,8020,44
7924,7955,179
7924,8047,75
7924,7949,304
7924,7959,57
7924,7944,158
7924,8474,42
7924,8495,250
7924,8321,41
7924,7980,159
7924,8703,30
7924,8300,67
7924,8167,248
7924,8305,32
7924,7983,315
7924,8084,225
7924,7912,178
7924,7922,291
7924,7918,43
7924,7920,162
7924,7908,214
7924,7910,37
7924,7916,52
7924,7906,30
7924,7914,46
7926,8016,65
7926,8018,73
7926,7964,72
7926,7985,72
7926,7980,62
7926,8114,65
7926,7983,81
7926,8188,61
7926,8495,56
7926,8149,75
7926,7931,71
7926,8287,72
7926,7962,50
7926,10937,4
7926,8008,66
7926,7992,128
7926,7940,61
7926,7988,67
7926,8011,89
7926,7936,53
7926,9647,39
7926,7951,62
7926,8136,53
7926,9066,74
7926,8045,39
7926,7959,82
7926,8738,27
7926,8163,50
7926,8002,43
7926,7929,73
7926,8093,62
7926,8848,36
7926,8020,56
7926,8084,116
7926,8219,67
7926,7967,76
7926,10167,36
7926,8245,69
7926,8131,73
7926,8904,63
7926,8300,89
7926,10112,41
7926,8031,50
7926,7978,67
7926,7970,39
7926,8280,34
7926,7973,90
7926,7949,83
7926,8109,22
7926,7957,69
7926,8211,72
7926,7994,120
7926,8005,72
7926,8460,75
7926,8086,79
7926,8647,62
7926,8119,59
7926,8047,60
7926,8091,82
7926,8272,67
7926,8023,67
7926,8703,37
7926,7934,65
7926,8028,67
7926,8140,84
7926,8174,52
7926,8321,56
7926,8198,73
7926,8111,36
7926,8167,64
7926,8056,52
7926,8073,44
7926,7975,64
7926,8243,88
7926,8121,53
7926,8186,64
7926,8428,54
7926,7942,75
7926,7998,49
7926,8184,79
7926,8413,49
7926,8124,71
7926,7938,78
7926,7944,45
7926,8033,85
7926,7953,79
7926,7955,51
7926,8780,40
7926,8474,70
7926,8305,60
7926,8000,84
7926,7946,65
7926,7990,56
7926,7924,66
7926,7912,35
7926,7922,74
7926,7916,72
7926,7908,76
7926,7906,57
7926,7910,52
7926,7918,66
7926,7914,66
7926,7920,68
7929,8016,145
7929,8163,104
7929,7962,45
7929,8495,113
7929,8028,183
7929,8073,105
7929,7985,79
7929,8111,32
7929,9647,108
7929,7998,125
7929,7931,94
7929,8091,197
7929,8033,143
7929,8647,159
7929,7992,92
7929,7967,185
7929,7959,92
7929,7973,91
7929,7936,114
7929,8018,138
7929,8219,57
7929,8136,57
7929,7955,122
7929,8047,113
7929,10167,31
7929,7983,165
7929,7990,41
7929,7957,75
7929,8011,92
7929,8738,24
7929,7994,129
7929,10937,5
7929,8114,71
7929,7980,126
7929,8280,48
7929,8428,120
7929,8056,45
7929,7946,72
7929,8186,116
7929,8093,125
7929,8008,129
7929,7949,199
7929,8005,184
7929,8305,59
7929,9066,58
7929,8002,54
7929,8198,91
7929,7944,90
7929,7988,142
7929,8703,35
7929,8174,114
7929,8904,112
7929,8167,129
7929,8184,70
7929,7978,140
7929,8020,61
7929,8119,74
7929,8848,28
7929,7975,71
7929,8245,47
7929,7934,57
7929,8149,90
7929,10112,75
7929,7942,67
7929,8474,59
7929,8109,22
7929,8272,154
7929,8780,27
7929,8000,69
7929,8121,48
7929,7970,37
7929,8131,135
7929,8031,109
7929,8140,122
